"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-276"	275	"shock, shook, sheaves placed crosswise, also a unit of grain paid orgiven"	4016	"STOOK"
"Rona-Tas-2011-500-277"	276	"a kind of ship"	740	"SHIP"
"Rona-Tas-2011-500-278"	277	"to ruminate (of bovines)"	3680	"RUMINATE"
"Rona-Tas-2011-500-279"	278	"cud"	4017	"CUD"
"Rona-Tas-2011-500-280"	279	"garden, place for animals"	586	"GARDEN"
"Rona-Tas-2011-500-281"	280	"vulture, Vultur"	1185	"VULTURE"
"Rona-Tas-2011-500-282"	281	"to be, become late"	1579	"BE"
"Rona-Tas-2011-500-283"	282	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-284"	283	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-285"	284	"small"	1246	"SMALL"
"Rona-Tas-2011-500-286"	285	"small, little"	1246	"SMALL"
"Rona-Tas-2011-500-287"	286	"felt"	325	"FELT"
"Rona-Tas-2011-500-288"	287	"wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum"	2230	"UNTAMED OR WILD"
"Rona-Tas-2011-500-289"	288	"a bird similar to a falcon, a kind of bird of prey"	3258	"FALCON"
"Rona-Tas-2011-500-290"	289	"pain"	1783	"PAIN"
"Rona-Tas-2011-500-291"	290	"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat"	1256	"HEAD"
"Rona-Tas-2011-500-292"	291	"lute, cittern"	2681	"LUTE"
"Rona-Tas-2011-500-293"	292	"to beg, to mendicate"	3534	"BEG"
"Rona-Tas-2011-500-294"	293	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-295"	294	"beggar"	1934	"BEGGAR"
"Rona-Tas-2011-500-296"	295	"hops, Humulus lupulus"	3316	"HOPS"
"Rona-Tas-2011-500-297"	296	"timothy-grass, phleum, Phleum sp."	4018	"TIMOTHY"
"Rona-Tas-2011-500-298"	297	"a kind of Hungarian sheepdog"	4019	"KOMONDOR"
"Rona-Tas-2011-500-299"	298	"gloomy, grave, morose, sombre, dull-coloured; not properly castrated"	1773	"GRAVE"
"Rona-Tas-2011-500-300"	299	"coffin"	2011	"COFFIN"
"Rona-Tas-2011-500-301"	300	"age, period"	1789	"AGE"
"Rona-Tas-2011-500-302"	301	"tomb, small hill, elevated, dry place in a marsh"	1773	"GRAVE"
"Rona-Tas-2011-500-303"	302	"dry stalk of weed"	342	"HAY"
"Rona-Tas-2011-500-304"	303	"soot"	830	"SOOT"
"Rona-Tas-2011-500-305"	304	"ram"	1344	"RAM"
"Rona-Tas-2011-500-306"	305	"burn"	2102	"BURN"
"Rona-Tas-2011-500-307"	306	"frock, sheepskin waistcoat"	603	"COAT"
"Rona-Tas-2011-500-308"	307	"frock, sheepskin waistcoat"	603	"COAT"
"Rona-Tas-2011-500-309"	308	"blackthorn, Prunus spinosa"	4020	"BLACKTHORN"
"Rona-Tas-2011-500-310"	309	"loan"	4021	"LOAN"
