"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-234"	234	"to take root, to grow stronger (plant, animal)"	619	"ANIMAL"
"Rona-Tas-2011-500-235"	235	"to grind, mill"	1033	"GRIND"
"Rona-Tas-2011-500-236"	236	"to rejoice, to be glad"	2192	"REJOICE"
"Rona-Tas-2011-500-237"	237	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-238"	238	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-239"	239	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-240"	240	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-241"	241	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-242"	242	"whirlpool, eddy"	1982	"WHIRLPOOL"
"Rona-Tas-2011-500-243"	243	"flood, deluge, stream"	947	"STREAM"
"Rona-Tas-2011-500-244"	244	"cheese"	1569	"CHEESE"
"Rona-Tas-2011-500-245"	245	"cheese"	1569	"CHEESE"
"Rona-Tas-2011-500-246"	246	"mud, marsh"	640	"MUD"
"Rona-Tas-2011-500-247"	247	"yellow"	1424	"YELLOW"
"Rona-Tas-2011-500-248"	248	"yellow"	1424	"YELLOW"
"Rona-Tas-2011-500-249"	249	"dragon"	2038	"DRAGON"
"Rona-Tas-2011-500-250"	250	"sickle"	341	"SICKLE"
"Rona-Tas-2011-500-251"	251	"tent"	1316	"TENT"
"Rona-Tas-2011-500-252"	252	"fast, quick"	1631	"FAST"
"Rona-Tas-2011-500-253"	253	"to sweep, to broom"	230	"SWEEP"
"Rona-Tas-2011-500-254"	254	"broom"	245	"BROOM"
"Rona-Tas-2011-500-255"	255	"to injure, to hurt"	44	"INJURE"
"Rona-Tas-2011-500-256"	256	"army, troops, crowd"	1561	"ARMY"
"Rona-Tas-2011-500-257"	257	"a nit"	267	"NIT"
"Rona-Tas-2011-500-258"	258	"cup, goblet"	476	"CUP"
"Rona-Tas-2011-500-259"	259	"even, flat, open (water)"	1633	"FLAT"
"Rona-Tas-2011-500-260"	260	"smooth, simít"	1234	"SMOOTH"
"Rona-Tas-2011-500-261"	261	"spring, well, brook"	1537	"SPRINGTIME"
"Rona-Tas-2011-500-262"	262	"much, many"	1198	"MANY"
"Rona-Tas-2011-500-263"	263	"falcon"	3258	"FALCON"
"Rona-Tas-2011-500-264"	264	"falcon"	3258	"FALCON"
