ID,Name,Concepticon_ID,Concepticon_Gloss
385_hallchambergreatroom,"hall, chamber, great room",,
386_camel,camel,1871,CAMEL
387_hempbreakerswinglescutch,"hemp breaker, swingle, scutch",,
388_steeryoungbullockox,"steer, young bullock, ox",,
389_tolayeggs,to lay eggs,2464,LAY EGGS
390_sturgeonacipensersturio,"sturgeon, Acipenser sturio",3606,STURGEON
391_oneyearoldlamb,one-year-old lamb,,
392_interpreter,interpreter,3744,INTERPRETER
393_horseradisharmoraciarusticana,"horseradish, Armoracia rusticana",,
394_topileuptobecomeblocked,"to pile up, to become blocked",1576,PILE UP
395_akindofsmallfalconfalcocolumbariusaescalon,"a kind of small falcon, Falco columbarius aescalon",,
396_slovak,Slovak,,
397_perfect,perfect,,
398_innumerable,innumerable,,
399_tobreakalsoeghempsaltpeppertoseparateintopiecestobreaktocrush,"to break (also e.g. hemp, salt, pepper), to separate into pieces, to break,to crush",1520,CRUSH
400_snaretrap,"snare, trap",1075,TRAP (PITFALL)
401_turkturkishturkicottoman,"Turk, Turkish, Turkic, Ottoman",,
402_tohappentooccur,"to happen, to occur",248,HAPPEN
403_law,law,1062,LAW
404_peatturfdrieddung,"peat, turf, dried dung",,
405_steeryoungbullockoxorcow,"steer, young bullock, ox or cow",,
406_cottagecheesecheesecurds,"cottage cheese, cheese curds",,
407_thetotembirdofthearpaddynastyabirdofprey,"the totem bird of the Árpád dynasty, a bird of prey",,
408_bustardotis,"bustard, Otis",,
409_mirror,mirror,1171,MIRROR
410_toenduresufferbearstand,"to endure, suffer, bear, stand",833,ENDURE
411_torollupascrolloronessleeves,to roll up (a scroll or ones sleeves),,
412_hen,hen,1514,HEN
413_owlstrix,"owl, Strix",735,OWL
414_gentlemanlordsirhighdignitylordalsoofakingorofgod,"gentleman, lord, sir, high dignity, Lord (also of a king or of God)",3153,LORD
415_torefreshoneselftoresttobecomecured,"to refresh oneself, to rest, to become cured",168,REST
416_feast,feast,,
417_heiferroedoe,"heifer, roe doe",,
418_groundsquirrelcitelluscitellus,"ground squirrel, Citellus citellus",,
419_wormwoodartemisiabitterness,"wormwood, Artemisia; bitterness",887,BITTER
420_wethersheep,"wether, sheep",1331,SHEEP
421_hotembersextinguishedembers,"hot embers, extinguished embers",,
422_oneyearoldfemalesheep,one-year-old female sheep,,
423_tohollowouttoscoopout,"to hollow out, to scoop out",46,HOLLOW OUT
424_troughtray,"trough, tray",,
425_fishweir,fishweir,,
426_aholeintheiceforfishing,a hole in the ice (for fishing),,
427_guest,guest,1782,GUEST
428_toplaittolaytherope,"to plait, to lay the rope",3295,BRAID (VERB)
429_gablefrontispiece,"gable, frontispiece",,
430_chamoisrupicaprarupicapra,"chamois, Rupicapra rupicapra",,
